TEST #,TABLE,FIELD,RULE
106,BMP_INSPECTION,EMBD_CVR,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0."
107,BMP_INSPECTION,EMBD_ERO,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0."
108,BMP_INSPECTION,EMBD_SEEP,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0. "
109,BMP_INSPECTION,EMBD_TOE,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0."
110,BMP_INSPECTION,EMBU_CVR,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0. "
111,BMP_INSPECTION,EMBU_ERO,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0. "
112,BMP_INSPECTION,EMBU_TOE,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0. "
115,BMP_INSPECTION,RSR_OPEN,"If not 0 then RSR_SEDI and RSR_STRC must have value other than 0, Same logic for NR and Null; value should never be Null since it's a domain"
116,BMP_INSPECTION,RSR_SEDI,If not 0 then RSR_OPEN and RSR_STRC must have value other than 0. Same logic for NR and Null; value should never be Null since it's a domain
117,BMP_INSPECTION,RSR_STRC,"If riser structure rating (RSR_STRC) has any value other than 0, riser sediment rating (RSR_SEDI) and riser opening rating (RSR_OPEN) must have a value other than 0. Same logic for NR and Null; value should never be Null since it's a domain"
118,BMP_INSPECTION,RSR_TRSH,If not 0 or NR then TRASHRACK in SWMRISER table or WEIR table must be 1 unless STR_TYPE = EM. Value should never be Null since it's a domain
119,BMP_INSPECTION,RSR_VALV,"If not 0 then RSR_SEDI, RSR_STRC, and RSR_OPEN must have value other than 0. -value should never be Null since it's a domain; if NR then the other RSR ratings should have "
125,CONVEYANCE,CONV_TYPE,"If DITCH then DNSTRM_STR cannot have STR_TYPE in STRUCTURES = MH, PC, YC, CI, PS, PB, PD, UNK MH, UNK PS, JB "
131,CONVEYANCE,META_ID,"In METADATA_INFO table, INFO_BASE cannot be Aerial"
137,DRAINAGE_SWMFACILITY,TREATMENT_AREA,Cannot be NULL 
149,FILE_ATTACH_STR,INSPECT_ID,Cannot be NULL 
150,FILE_ATTACH_SWM,BMP_INSPECT_ID,Cannot be NULL 
156,FLDSC_SITE,STREAMDIST,Cannot be NULL 
157,FLDSC_SITE,STRUCTURE_ID,Cannot be NULL
160,BMP_INSPECTION,RSR_TRSH,"If not 0 or NR then RSR_SEDI, RSR_STRC, and RSR_OPEN must have value other than 1, If RSR_TRASH has a value other than 0 or NR, then the other RSR values (not RSR_VALV) must have value other than 0 or NR."
161,INLET,STRUCTURE_ID,Cannot be NULL 
165,INSPECTION,DEPTH," if DEPTH value is greater than 1, then FLOW_OBSERV is true"
167,INSPECTION,FLOWOBSERV,"If yes, Then DEPTH must be greater than 0"
173,MANHOLE_CONN,STRUCTURE_ID,Cannot be NULL
186,PIPES,CONVEYANCE_ID,Cannot be NULL
193,PUMPSTN,STRUCTURE_ID,Cannot be NULL
195,STRUCTURES,DATEABANDONED,"If has value other than 0, then FEAT_STATUS must be ABD"
198,STRUCTURES,META_ID,Cannot be NULL
199,STRUCTURES,PLANDATE,Cannot be NULL or 0
202,STRUCTURES,STR_TYPE,If ID then FUNC_CLASS = CN 
223,SWMFAC,DAM_HEIGHT,"If value other than 0, then BMP_INSPECTION table, must have non 0's for EMBD_CVR, EMBD_ERO, EMBD_TOE, EMBU_CVR, EMBU_ERO, EMBU_TOE, EMBD_SEEP "
226,SWMFAC,DATEABANDONED,"If has value other than 0, then FEAT_STATUS must be ABD "
235,SWMFAC,FEAT_STATUS,"If NB or PRO, there should not be a record in BMP_INSPECTION"
236,SWMFAC,FEAT_STATUS,"If NB, RMV, ABD, or PRO, there should not be a record in DRAINAGE_SWMFACILITY"
237,SWMFAC,FENCE_MAT,"If non 0 then BMP_INSPECTON table, FENCES cannot be 0"
239,SWMFAC,META_ID,Cannot be NULL 
244,SWMFAC,TRCH_LN,"If has value other then 0, then DESIGNATION must be I or O "
245,SWMFAC,TRCH_LN,"If has value other then 0, then DESIGN_SUB must be INFTREN, OTHER INFILTRATION, DRYSWL, WETSWL, OTHER OCS, GRSWL"
246,SWMFAC,TRCH_WDTH,"If has value other then 0, then DESIGNATION must be I or O "
247,SWMFAC,TRCH_WDTH,"If has value other then 0, then DESIGN_SUB must be INFTREN, OTHER INFILTRATION, DRYSWL, WETSWL, OTHER OCS, GRSWL"
248,SWMFAC,VIC_BMP,Cannot be NULL 
265,SWMFAC,PLANDATE,Cannot be NULL or 0 
250,SWMRISER,STRUCTURE_ID,Cannot be NULL
252,WEIR,STRUCTURE_ID,Cannot be NULL 
260,SWMFAC,,SWMFAC must have centroid 
261,SWMFAC,FACILITY_ID,"If value, then record must exist in DRAINAGE_SWMFACILITY"
262,STRUCTURES,MAJ_OUTF,If yes and STREAMDIST in FLDSC_SITE is not 9999 then NPDES in STRUCTURES is yes 
100,BMP_CENTROID,FACILITY_ID,Cannot be NULL
101,BMP_CENTROID,X,Cannot be NULL
102,BMP_CENTROID,Y,Cannot be NULL
103,BMP_CENTROID,,FACILITY_ID must exist in SWMFAC table
104,BMP_INSPECTION,BMP_INSPECT_ID,Cannot be NULL
105,BMP_INSPECTION,DATE_INSP,Cannot be NULL
113,BMP_INSPECTION,FACILITY_ID,Cannot be NULL
114,BMP_INSPECTION,INSPECTR,"Cannot be NULL or """
120,BMP_INSPECTION_ACTION,BMP_INSPECT_ID,Cannot be NULL
124,CONVEYANCE,CONV_TYPE,"If DITCH then UPSTRM_STR cannot have STR_TYPE in STRUCTURES = MH, JB, PC, YC, CI, PS, PB, PD, UNK MH, UNK PS"
126,CONVEYANCE,CONV_TYPE,"If PIPE then UPSTRM_STR cannot have STR_TYPE in STRUCTURES = ID, EW,EM"
127,CONVEYANCE,CONV_TYPE,"If PIPE then DNSTRM_STR cannot have STR_TYPE in STRUCTURES = ID, HW,EM"
128,CONVEYANCE,CONVEYANCE_ID,Cannot be NULL
129,CONVEYANCE,DNSTRM_STR,Cannot be NULL
130,CONVEYANCE,META_ID,Cannot be NULL
132,CONVEYANCE,UNIT_LEN,Cannot be NULL
133,CONVEYANCE,UPSTRM_STR,Cannot be NULL
263,CONVEYANCE,PLANDATE,Cannot be NULL or 0
134,DITCH,CONVEYANCE_ID,Cannot be NULL
135,DRAINAGE_STRUCTURE,STRUCTURE_ID,Cannot be NULL
136,DRAINAGE_SWMFACILITY,FACILITY_ID,Cannot be NULL
138,STRUCTURES,MAJ_OUTF,"If yes then record should exist in Conveyance Table, DNSTRM_STR "
139,STRUCTURES,MAJ_OUTF,"If yes then Structures table should have STUDY_PT = Yes, ADDING NULL FOR ERROR TRAPPING MEANING STUDY_PT = NO OR NULL WOULD FAIL"
140,STRUCTURES,MAJ_OUTF,If yes then XS_AREA in PIPE = 1018 or greater
141,STRUCTURES,MAJ_OUTF,If yes then record in INSPECTION and FLDSC_SITE
142,STRUCTURES,NPDES_OUTF,"If yes then record should exist in Conveyance Table, DNSTRM_STR"
143,STRUCTURES,NPDES_OUTF,"If yes then Structures table should have STUDY_PT = Yes, ADDING NULL FOR ERROR TRAPPING MEANING STUDY_PT = NO OR NULL WOULD FAIL"
144,STRUCTURES,NPDES_OUTF,If yes then RECOMMENDATION in P_INSP_REC = 7
145,STRUCTURES,MAJ_OUTF,If yes then record in DRAINAGE_STRUCTURE table
146,END_HEADWALL,STRUCTURE_ID,Cannot be NULL
147,END_HEADWALL,,"STR_TYPE in STRUCTURES = EW, HW, ES, PP, UNK EH"
