TEST #,TABLE,FIELD,RULE,,EXPLANATION,SQL STATEMENT,IN PLTS,TEST STATUS IN PLTS,COMMENT
100,BMP_CENTROID,FACILITY_ID,Cannot be NULL,chk_bmp_facility_id_null,Facility identifier (FACILITY_ID) cannot be NULL,FACILITY_ID IS NULL,YES,WORKS,
101,BMP_CENTROID,X,Cannot be NULL,chk_bmp_xy_null,X coordinate (X) cannot be NULL,X IS NULL,YES,WORKS,
102,BMP_CENTROID,Y,Cannot be NULL,chk_bmp_xy_null,Y coordinate (Y) cannot be NULL,Y IS NULL,YES,WORKS,
103,BMP_CENTROID,,FACILITY_ID must exist in SWMFAC table,,Facility identifier (FACILITY_ID) in the Best Management Practice Centroid (BMP_CENTROID) table must exist in the SWMFAC table,FACILITY_ID NOT IN(SELECT FACILITY_ID FROM SWMFAC),YES,WORKS,
104,BMP_INSPECTION,BMP_INSPECT_ID,Cannot be NULL,chk_bmp_inspection_null,Best Management Practice Inspection Identifier (BMP_INSPECT_ID) cannot be NULL,BMP_INSPECT_ID IS NULL,YES,WORKS,
105,BMP_INSPECTION,DATE_INSP,Cannot be NULL,chk_bmp_inspection_date_null,Inspection Date (DATE_INSP) cannot be NULL,DATE_INSP IS NULL,YES,WORKS,
106,BMP_INSPECTION,EMBD_CVR,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0.",chk_bmp_inspection_embd_cvr,"If downstream embankment cover (EMBD_CVR) has any value other than 0, dam height (DAM_HEIGHT) in storm water management facility (SWMFAC) table must have a value other than 0.",EMBD_CVR <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM SWMFAC WHERE DAM_HEIGHT IS NULL OR DAM_HEIGHT = 0),YES,WORKS,
107,BMP_INSPECTION,EMBD_ERO,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0.",chk_bmp_inspection_embd_ero,"If downstream embankment erosion (EMBD_ERO) has any value other than 0, dam height (DAM_HEIGHT) in storm water management facility (SWMFAC) table must have a value other than 0.",EMBD_ERO <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM SWMFAC WHERE DAM_HEIGHT IS NULL OR DAM_HEIGHT = 0),YES,WORKS,
108,BMP_INSPECTION,EMBD_SEEP,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0.",chk_bmp_inspection_embd_seep,"If downstream embankment seepage (EMBD_SEEP) any value other than 0, dam height (DAM_HEIGHT) in storm water management facility (SWMFAC) table must have a value other than 0.",EMBD_SEEP <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM SWMFAC WHERE DAM_HEIGHT IS NULL OR DAM_HEIGHT = 0),YES,WORKS,
109,BMP_INSPECTION,EMBD_TOE,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0.",chk_bmp_inspection_embd_toe,"If downstream embankment toe condition (EMBD_TOE) has any value other than 0, dam height (DAM_HEIGHT) in storm water management facility (SWMFAC) table must have a value other than 0.",EMBD_TOE <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM SWMFAC WHERE DAM_HEIGHT IS NULL OR DAM_HEIGHT = 0),YES,WORKS,
110,BMP_INSPECTION,EMBU_CVR,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0.",,"If upstream embankment cover (EMBU_CVR) has any value other than 0, dam height (DAM_HEIGHT) in storm water management facility (SWMFAC) table must have a value other than 0.",EMBU_CVR <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM SWMFAC WHERE DAM_HEIGHT IS NULL OR DAM_HEIGHT = 0),YES,WORKS,
111,BMP_INSPECTION,EMBU_ERO,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0.",,"If upstream embankment erosion (EMBU_ERO) has any value other than 0, dam height (DAM_HEIGHT) in storm water management facility (SWMFAC) table must have a value other than 0.",EMBU_ERO <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM SWMFAC WHERE DAM_HEIGHT IS NULL OR DAM_HEIGHT = 0),YES,WORKS,
112,BMP_INSPECTION,EMBU_TOE,"If has non 0 value, then DAM_HEIGHT in SWMFAC must have value other than 0.",,"If upstream embankment toe condition (EMBU_TOE) has any value other than 0, dam height (DAM_HEIGHT) in storm water management facility (SWMFAC) table must have a value other than 0.",EMBU_TOE <> '0' AND FACILITY_ID IN(SELECT FACILITY_ID FROM SWMFAC WHERE DAM_HEIGHT IS NULL OR DAM_HEIGHT = 0),YES,WORKS,
113,BMP_INSPECTION,FACILITY_ID,Cannot be NULL,,Facility identifier (FACILITY_ID) cannot be NULL,FACILITY_ID IS NULL,YES,WORKS,
114,BMP_INSPECTION,INSPECTR,Cannot be NULL,,Inspector (INSPECTR) cannot be NULL,INSPECTR IS NULL,YES,WORKS,
115,BMP_INSPECTION,RSR_OPEN,If not 0 then RSR_SEDI and RSR_STRC must have value other than 0,,"If riser opening rating (RSR_OPEN) has any value other than 0, riser sediment rating (RSR_SEDI) and riser structure rating (RSR_STRC) must have a value other than 0",RSR_OPEN <> '0' AND (RSR_SEDI = '0' OR RSR_STRC = '0'),YES,WORKS,
116,BMP_INSPECTION,RSR_SEDI,If not 0 then RSR_OPEN and RSR_STRC must have value other than 0,,"If riser sediment rating (RSR_SEDI) has any value other than 0, riser opening rating (RSR_OPEN) and riser structure rating (RSR_STRC) must have a value other than 0",RSR_SEDI <> '0' AND (RSR_OPEN = '0' OR RSR_STRC = '0'),YES,WORKS,
117,BMP_INSPECTION,RSR_STRC,EM.,,"If riser structure rating (RSR_STRC) has any value other than 0, riser sediment rating (RSR_SEDI) and riser opening rating (RSR_OPEN) must have a value other than 0",RSR_STRC <> '0' AND (RSR_SEDI = '0' OR RSR_OPEN = '0'),YES,WORKS,
