list_name,name,label,image,label::language1
,,,,
,,,,
DBMP_firm,KCI_1,KCI Team 1,,
DBMP_firm,KCI_2,KCI Team 2,,
DBMP_firm,GFL,Gannett Fleming,,
DBMP_firm,RJM,RJM,,
DBMP_firm,MES,MES,,
,,,,
,,,,
DBMP_yes_no,yes,Yes,,
DBMP_yes_no,no,No,,
,,,,
DBMP_Inspection_Type,TR,Triennial,,
DBMP_Inspection_Type,IL,Inspection Light,,
DBMP_Inspection_Type,CV,Construction Verification,,
DBMP_Inspection_Type,RM,Remediation Verification,,
DBMP_Inspection_Type,OT,Other,,
,,,,
DBMP_Insp_Sco,0,Not Part of Design,,
DBMP_Insp_Sco,1,1,,
DBMP_Insp_Sco,2,2,,
DBMP_Insp_Sco,3,3,,
DBMP_Insp_Sco,4,4,,
DBMP_Insp_Sco,5,5,,
DBMP_Insp_Sco,nr,Not Rated,,
,,,,
DBMP_Insp_Sco_nozero,1,1,,
DBMP_Insp_Sco_nozero,2,2,,
DBMP_Insp_Sco_nozero,3,3,,
DBMP_Insp_Sco_nozero,4,4,,
DBMP_Insp_Sco_nozero,5,5,,
DBMP_Insp_Sco_nozero,nr,Not Rated,,
,,,,
DBMP_Insp_Rating,a,A,,
DBMP_Insp_Rating,b,B,,
DBMP_Insp_Rating,c,C,,
DBMP_Insp_Rating,d,D,,
DBMP_Insp_Rating,e,E,,
DBMP_Insp_Rating,nr,Not Rated,,
,,,,
DBMP_BooleanValues,1,TRUE,,
DBMP_BooleanValues,2,FALSE,,
,,,,
DBMP_Context,NAT,Natural,,
DBMP_Context,RES,Residential,,
DBMP_Context,SCO,Shopping and Office Park,,
DBMP_Context,SDEV,Commercial Development,,
DBMP_Context,IDEV,Industrial Development,,
DBMP_Context,MUN,Municipal,,
DBMP_Context,AGR,Agriculture,,
DBMP_Context,REC,Recreational,,
DBMP_Context,SCH,School,,
DBMP_Context,VAC,Vacant Building,,
,,,,
DBMP_subject,ACS,Access of Habitation,,
DBMP_subject,CS,Control Structure,,
DBMP_subject,EMB,Embankment,,
DBMP_subject,ES,Emergency Spillway,,
DBMP_subject,ERO,Erosion,,
DBMP_subject,HAB,Evidence Blocked,,
DBMP_subject,FEN,Fence,,
DBMP_subject,FOR,Forebay,,
DBMP_subject,HAZ,Hazards,,
DBMP_subject,ILL,Illicit Discharges,,
DBMP_subject,INF,Inflow,,
DBMP_subject,LOW,Low Flow Orifice,,
DBMP_subject,MOT,Maintenance of Traffic,,
DBMP_subject,MAJ,Major Outfalls,,
DBMP_subject,OBW,Observation Well,,
DBMP_subject,OTH,Other Maintenance Items,,
DBMP_subject,OUT,Outfall,,
DBMP_subject,OV,Overall,,
DBMP_subject,RIS,Riser,,
DBMP_subject,WER,Weir,,
,,,,
DBMP_Com_Action,BE,Rebuild Embankment to Provide Required Freeboard,,
DBMP_Com_Action,BN,Install Pond Bench/Shelves,,
DBMP_Com_Action,CO,Construct Emergency Spillway Opening,,
DBMP_Com_Action,CP,Construct Pull-off at Access Road,,
DBMP_Com_Action,CR,Construct Access Road,,
DBMP_Com_Action,CS,Clear Sediment,,
DBMP_Com_Action,RB,Repair Banks or Side Slopes,,
