type	name	label	hint	constraint	constraint_message	required	required_message	appearance	default	readonly	relevant	calculation	choice_filter	repeat_count	label::language1	hint::language1	media::audio	media::image	body::accuracyThreshold	bind::esri:fieldType	bind::esri:fieldLength	bind::esri:fieldAlias	body::esri:inputMask	bind::esri:parameters	bind::saveIncomplete
																									
geopoint	geometry	Geometry																							
text	FO_S123_USERNAME	Survey123 Username																		esriFieldTypeString	255				
dateTime	FORM_START	FORM_START																		esriFieldTypeDate					
dateTime	FORM_END	FORM_END																		esriFieldTypeDate					
select_one DBMP_yes_no	SHOW_HELP	Display Help Images																		esriFieldTypeString	3				
text	FACILITY_ID	facility_id																		esriFieldTypeString	42				
text	SWM_FAC_NO	SHA SWMFAC Number																		esriFieldTypeString	38				
text	INSPECTR	Inspector Initials																		esriFieldTypeString	11				
text	FIRM_NAME	Firm																		esriFieldTypeString	50				
select_one DBMP_firm_group	FIRM_GROUP	Firm Group																		esriFieldTypeString	6				
select_one DBMP_yes_no	FO_UNDERGROUND_YN	Underground BMP																		esriFieldTypeString	3				
select_one DBMP_Inspection_Type	INSPECTION_TYPE	Inspection Type																		esriFieldTypeString	2				
text	OTHER_INSP_TYPE_DESC	Enter other inspection																		esriFieldTypeString	50				
dateTime	DATE_INSP	DATE_INSP																		esriFieldTypeDate					
text	H_SOP_HINT	SOP Section 3.4.3 excerpt																		esriFieldTypeString	255				
text	H_SCORING	Not Scored -vs- Not Rated																		esriFieldTypeString	255				
text	G_VISIBILITY_HINT	Visibility Table																		esriFieldTypeString	255				
select_one DBMP_Insp_Sco	VISIBLE	Visibility																		esriFieldTypeString	255				
select_one DBMP_Insp_Sco	MOW	Mowability																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco_nozero	ACCESS_	Access																		esriFieldTypeString	255				
text	COM_ACCESS	Access Comment																		esriFieldTypeString	255				
select_one DBMP_Insp_Sco_nozero	DEBRIS	Debris																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	FENCES	Fencing																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco_nozero	PUB_HAZ	Public Hazard																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	PUB_HAZ_POT	Potential for Public Hazard																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	BMP_VEG	BMP Vegetation																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco_nozero	SITE_VEG	Site Vegetation																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	BMP_CONT	BMP Contamination																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	PRETREAT	Pre-Treatment																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	QIN_STAB	Inflow Stability																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	QIN_COND	Inflow Condition																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	DS_CONDITION	Downstream Condition																		esriFieldTypeString	50				
select_one DBMP_Insp_Sco	CONVEY_STABILITY	Conveyance Stability																		esriFieldTypeString	50				
select_one DBMP_Insp_Sco	SURFACE_CONDITION	Surface Condition																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	STRUCTURE_ACCESS_CONDITION	Structure Access Condition																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	EMBU_CVR	Downstream-Cover																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	EMBU_ERO	Downstream Embankment																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	EMBU_TOE	Downstream Embankment																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	EMBD_CVR	Upstream-Cover																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	EMBD_ERO	Upstream Embankment																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	EMBD_TOE	Upstream Embankment																		esriFieldTypeString	2				
select_one DBMP_Insp_Sco	EMBD_SEEP	Embankment Seepage																		esriFieldTypeString	2				
